# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.4.0
#@/tick	1393466
#@/user_id	jysperm
a 	ㄚ	c=1 d=5.42744e-76 t=1393466
dan xuan ti 	單選題	c=1 d=8.36585e-137 t=1393466
dan yan 	單眼	c=2 d=0 t=1393466
dan yan guai 	單眼怪	c=2 d=0 t=1393466
dan yang 	丹陽	c=1 d=0 t=1393466
dan yao 	但要	c=6 d=7.37374e-05 t=1393466
dan yao shi 	但要是	c=1 d=1.42887e-169 t=1393466
dan ye 	但也	c=11 d=1.89894e-74 t=1393466
dan ye 	單頁	c=3 d=0 t=1393466
dan ye jiu 	但也就	c=1 d=5.80712e-48 t=1393466
dan ye yao kan 	但也要看	c=1 d=0 t=1393466
dan ye you 	但也有	c=2 d=1.87214e-142 t=1393466
dan ye you xie 	但也有些	c=1 d=3.08917e-181 t=1393466
dan yi 	單一	c=54 d=0.496585 t=1393466
dan yi ge 	但一個	c=1 d=2.3815e-179 t=1393466
dan yi xie 	但一些	c=1 d=1 t=1313267
dan yi zhi biao 	單一指標	c=1 d=4.89509e-38 t=1393466
dan yin 	但因	c=1 d=1.28426e-149 t=1393466
dan yin hao 	單引號	c=10 d=2.34124e-08 t=1393466
dan yin wei 	但因爲	c=1 d=1.02983e-81 t=1393466
dan yong hu 	但用戶	c=1 d=0 t=1393466
dan you 	但又	c=10 d=1.66813e-20 t=1393466
dan you 	擔憂	c=9 d=3.28787e-149 t=1393466
dan you pa 	但又怕	c=1 d=0 t=1393466
dan you yi duan shi jian 	但有一段時間	c=1 d=1 t=1324055
dan yu 	但與	c=1 d=5.6773e-223 t=1393466
dan yuan 	但願	c=1 d=0 t=1393466
dan yuan 	單元	c=59 d=0.348192 t=1393466
dan yuan ce 	單元測	c=1 d=0 t=1393466
dan yuan ce shi 	單元測試	c=40 d=0.00530026 t=1393466
dan yuan ge 	單元格	c=1 d=1.01712e-82 t=1393466
dan yuan men 	單元門	c=2 d=0 t=1393466
dan yue 	單月	c=2 d=0.187308 t=1393466
dan zai 	但在	c=3 d=1.37125e-126 t=1393466
dan zhe ci 	但這次	c=1 d=0 t=1393466
dan zhuang 	淡妝	c=1 d=0 t=1393466
dan zi 	單子	c=8 d=6.81196e-102 t=1393466
dan zi 	擔子	c=1 d=2.1814e-29 t=1393466
dan zi 	膽子	c=2 d=1.1396e-08 t=1393466
dang 	擋	c=5 d=0.843665 t=1393466
dang 	檔	c=13 d=5.79133e-16 t=1393466
dang 	當	c=370 d=0.0908522 t=1393466
dang 	黨	c=9 d=2.72013e-08 t=1393466
dang an ju 	檔案局	c=1 d=5.40611e-206 t=1393466
dang ban zhang 	當班長	c=1 d=5.13208e-06 t=1393466
dang bing 	當兵	c=1 d=0 t=1393466
dang bu liao 	當不了	c=1 d=1 t=1320271
dang bu zhu 	擋不住	c=1 d=0 t=1393466
dang cheng 	當成	c=29 d=6.89538e-10 t=1393466
dang chu 	當初	c=12 d=2.21129e-42 t=1393466
dang ci 	檔次	c=8 d=2.30043e-07 t=1393466
dang dao 	擋到	c=3 d=9.14717e-158 t=1393466
dang di 	當地	c=20 d=1.96591e-70 t=1393466
dang di shi jian 	當地時間	c=1 d=2.23626e-174 t=1393466
dang du 	當賭	c=1 d=1.32516e-18 t=1393466
dang fan 	當飯	c=1 d=1.52736e-71 t=1393466
dang fei 	黨費	c=2 d=0 t=1393466
dang feng 	擋風	c=1 d=0 t=1393466
dang ge 	當個	c=8 d=4.6138e-77 t=1393466
dang gui 	當歸	c=0 d=0 t=1393466
dang hong 	當紅	c=0 d=0 t=1393466
dang hong si 	當紅撕	c=5 d=3.97625e-110 t=1393466
dang hui shi 	當回事	c=4 d=1.00622e-162 t=1393466
dang ji 	宕機	c=2 d=1.68737e-96 t=1393466
dang jian pai 	擋箭牌	c=3 d=1.04231e-252 t=1393466
dang jin 	當今	c=1 d=9.84722e-202 t=1393466
dang le 	當了	c=1 d=0 t=1393466
dang mei you 	當沒有	c=1 d=0 t=1393466
dang mian 	當面	c=8 d=0.00412784 t=1393466
dang nei 	黨內	c=1 d=9.07254e-238 t=1393466
dang ni 	當你	c=37 d=4.09805e-06 t=1393466
dang ni ban 	擋泥板	c=5 d=1.14458e-118 t=1393466
dang ni shi yong 	當你使用	c=1 d=0 t=1393466
dang nian 	當年	c=50 d=0.008396 t=1393466
dang nian ni 	當年你	c=3 d=0 t=1393466
dang pai 	黨派	c=3 d=4.10241e-275 t=1393466
dang qi 	當期	c=0 d=0 t=1393466
dang qi na 	當期那	c=1 d=0 t=1393466
dang qian 	當前	c=394 d=0.272532 t=1393466
dang qian yun xing 	當前運行	c=1 d=1 t=1370653
dang ran 	當然	c=1232 d=0.802519 t=1393466
dang ran le ya 	當然了呀	c=1 d=0 t=1393466
dang ran ya 	當然呀	c=2 d=6.16601e-77 t=1393466
dang ri 	當日	c=4 d=7.51022e-103 t=1393466
dang shang 	擋上	c=1 d=0 t=1393466
dang shang 	當上	c=3 d=1.64956e-06 t=1393466
dang shi 	當時	c=618 d=1.59329 t=1393466
dang shi mei 	當時沒	c=1 d=0 t=1393466
dang shi ni 	當時你	c=1 d=0 t=1393466
dang shi ren 	當事人	c=4 d=0 t=1393466
dang shi shi 	當時是	c=1 d=0 t=1393466
dang si 	當死	c=1 d=2.48545e-211 t=1393466
dang su 	當俗	c=1 d=0 t=1393466
dang ta 	當它	c=1 d=0 t=1393466
dang tian 	當天	c=68 d=0.00182715 t=1393466
dang wei 	檔位	c=4 d=3.83145e-185 t=1393466
dang wei 	黨委	c=1 d=2.66837e-76 t=1393466
dang wo 	當我	c=8 d=1.26139e-26 t=1393466
dang wo de 	當我的	c=1 d=0 t=1393466
dang wo shuo 	當我說	c=1 d=0 t=1393466
dang xia 	當下	c=6 d=1.45581e-80 t=1393466
dang xing 	黨性	c=1 d=3.09002e-243 t=1393466
dang yong 	當用	c=1 d=0 t=1393466
dang you 	當有	c=1 d=0 t=1393466
dang yuan 	黨員	c=4 d=6.61535e-81 t=1393466
dang yue 	當月	c=3 d=0 t=1393466
dang zhe 	擋着	c=1 d=0 t=1393466
dang zhen 	當真	c=4 d=2.93879e-94 t=1393466
dang zhi wu kui 	當之無愧	c=1 d=5.55065e-46 t=1393466
dang zhong 	當中	c=3 d=2.78899e-08 t=1393466
dang zhu 	擋住	c=3 d=0 t=1393466
dang zuo 	當作	c=52 d=1.75264e-05 t=1393466
dao 	倒	c=89 d=0.860708 t=1393466
dao 	刀	c=28 d=2.94398 t=1393466
dao 	到	c=5523 d=3.51165 t=1393466
dao 	導	c=4 d=1.4805e-28 t=1393466
dao 	島	c=22 d=0.228152 t=1393466
dao 	盜	c=2 d=1.88465e-44 t=1393466
dao 	稻	c=1 d=2.91817e-70 t=1393466
dao 	道	c=8 d=3.30524e-06 t=1393466
dao ban 	盜版	c=41 d=0.000112226 t=1393466
dao ban ruan jian 	盜版軟件	c=2 d=0 t=1393466
dao ban shu 	盜版書	c=2 d=2.44486e-135 t=1393466
dao bei jing 	到北京	c=1 d=0 t=1393466
dao ben di 	到本地	c=1 d=0.261846 t=1393466
dao bi 	倒逼	c=2 d=1 t=1367236
dao bi 	倒閉	c=39 d=0.0107269 t=1393466
dao bu 	倒不	c=1 d=0 t=1393466
dao bu liao 	到不了	c=7 d=3.21532e-05 t=1393466
dao bu ru 	倒不如	c=3 d=0 t=1393466
dao bu shi 	倒不是	c=23 d=6.65552e-64 t=1393466
dao cao 	稻草	c=2 d=1.0657e-106 t=1393466
dao chang 	到場	c=3 d=0 t=1393466
dao chang 	道場	c=1 d=1.89373e-218 t=1393466
dao che 	倒車	c=8 d=0 t=1393466
dao chu 	倒出	c=1 d=0 t=1393466
dao chu 	到處	c=48 d=8.05007e-08 t=1393466
dao chu 	導出	c=263 d=0.00353515 t=1393466
dao chu dao 	導出到	c=2 d=7.53784e-58 t=1393466
dao chu fa 	到處發	c=1 d=0 t=1393466
dao chu guo 	導出過	c=1 d=0 t=1393466
dao chu lai 	倒出來	c=1 d=0 t=1393466
dao chu lai 	導出來	c=1 d=0 t=1393466
dao chu shi 	導出時	c=1 d=0 t=1393466
dao ci 	到此	c=0 d=3.00921e-197 t=1393466
dao ci shi 	到此時	c=1 d=3.0243e-196 t=1393466
dao ci wei zhi 	到此爲止	c=1 d=0 t=1393466
dao da 	到達	c=28 d=0.000296045 t=1393466
dao da lv 	到達率	c=8 d=6.06944e-09 t=1393466
dao da yi pa 	倒打一耙	c=1 d=1.68882e-253 t=1393466
dao dao 	道道	c=3 d=5.74328e-66 t=1393466
dao de 	道德	c=19 d=4.58874e-13 t=1393466
dao di 	到底	c=138 d=0.000140918 t=1393466
dao di shi 	到底是	c=1 d=0 t=1393466
dao di shi fou 	到底是否	c=1 d=0 t=1393466
dao dian 	到點	c=1 d=2.17024e-145 t=1393466
dao dian 	導電	c=1 d=0 t=1393466
dao diao 	倒掉	c=1 d=8.24183e-79 t=1393466
dao ding 	到頂	c=2 d=2.58054e-94 t=1393466
dao gong si 	到公司	c=6 d=3.36882e-83 t=1393466
dao gou 	導購	c=1 d=1 t=1314576
dao guo 	到過	c=1 d=3.09065e-216 t=1393466
dao hai 	倒還	c=1 d=4.77358e-07 t=1393466
dao hai hao 	到還好	c=1 d=0 t=1393466
dao hang 	導航	c=29 d=8.38145e-12 t=1393466
dao hang lan 	導航藍	c=1 d=5.88634e-266 t=1393466
dao hang le 	導航了	c=1 d=8.75893e-89 t=1393466
dao hao 	盜號	c=2 d=0 t=1393466
dao he zi 	到盒子	c=3 d=4.31714e-148 t=1393466
dao hui 	倒回	c=1 d=3.64535e-305 t=1393466
dao huo 	到貨	c=1 d=1.28124e-92 t=1393466
dao ji 	道濟	c=1 d=1.97825e-26 t=1393466
dao jia 	到家	c=36 d=0.0367308 t=1393466
dao jia le 	到加了	c=2 d=2.20252e-201 t=1393466
dao jia le 	到家了	c=1 d=3.58715e-204 t=1393466
dao jiu 	到舊	c=1 d=0 t=1393466
dao ju 	道具	c=4 d=2.85164e-34 t=1393466
dao jue de 	到覺得	c=2 d=1.29826e-12 t=1393466
dao kun shan 	到崑山	c=1 d=3.84516e-227 t=1393466
dao lai 	到來	c=1 d=0 t=1393466
dao le 	倒了	c=1 d=0.00353515 t=1393466
dao le 	到了	c=169 d=0.265803 t=1393466
dao le a 	到了啊	c=1 d=0 t=1393466
dao li 	道理	c=62 d=0.514274 t=1393466
dao lian 	盜鏈	c=1 d=0 t=1393466
dao liang hang 	到兩行	c=1 d=2.91926e-45 t=1393466
dao liu 	導流	c=3 d=0 t=1393466
dao liu xue 	到留學	c=1 d=1.35121e-188 t=1393466
dao lu 	道路	c=36 d=3.98875e-129 t=1393466
dao luan 	搗亂	c=11 d=0 t=1393466
dao lun 	導論	c=5 d=7.80869e-83 t=1393466
dao mai 	倒買	c=1 d=0 t=1393466
dao mai 	倒賣	c=1 d=0 t=1393466
dao mao an ran 	道貌岸然	c=1 d=3.54384e-120 t=1393466
dao me 	到麼	c=1 d=0 t=1393466
dao mei 	倒沒	c=2 d=4.41454e-88 t=1393466
dao mei 	倒霉	c=3 d=1.95311e-52 t=1393466
dao mei you 	倒沒有	c=1 d=4.43667e-87 t=1393466
dao mo ren 	到默認	c=1 d=0 t=1393466
dao na 	到哪	c=18 d=0.000555857 t=1393466
dao na 	到那	c=2 d=1.66203e-212 t=1393466
dao na bian 	到那邊	c=1 d=0 t=1393466
dao na li 	到哪裏	c=7 d=7.94373e-28 t=1393466
dao ni 	到你	c=1 d=4.2206e-176 t=1393466
dao pian 	刀片	c=1 d=0 t=1393466
dao qi 	到期	c=38 d=3.64405e-07 t=1393466
dao qi qian 	到期前	c=1 d=0 t=1393466
dao qi shi jian 	到期時間	c=1 d=1.30025e-30 t=1393466
dao qian 	道歉	c=5 d=3.66009e-88 t=1393466
dao qie 	盜竊	c=3 d=1.35982e-57 t=1393466
dao qu 	盜取	c=2 d=0 t=1393466
dao ren 	刀刃	c=3 d=0 t=1393466
dao rong qi 	到容器	c=1 d=3.71189e-165 t=1393466
dao ru 	導入	c=63 d=0.97531 t=1393466
dao ru dao chu 	導入導出	c=3 d=2.3545e-45 t=1393466
dao shang 	島上	c=1 d=1 t=1392673
dao shi 	倒是	c=227 d=0.609571 t=1393466
dao shi 	導師	c=2 d=5.01341e-113 t=1393466
dao shi cha 	倒時差	c=4 d=0.212616 t=1393466
dao shi hou 	到時候	c=135 d=0.0753961 t=1393466
dao shi jian 	到時間	c=2 d=2.97418e-29 t=1393466
dao shi mei wen ti 	倒是沒問題	c=1 d=0 t=1393466
dao shi ni 	倒是你	c=1 d=0 t=1393466
dao shou 	到手	c=20 d=0.491644 t=1393466
dao shou le 	到手了	c=1 d=0 t=1393466
dao shu 	倒數	c=8 d=4.40867e-42 t=1393466
dao ti 	道題	c=1 d=0 t=1393466
dao ting tu shuo 	道聽途說	c=3 d=1.47951e-167 t=1393466
dao tou 	到頭	c=4 d=1.13949e-95 t=1393466
dao tou lai 	到頭來	c=1 d=0 t=1393466
dao tui 	倒退	c=5 d=6.56318e-223 t=1393466
dao wei 	到位	c=9 d=7.36097e-14 t=1393466
dao wo 	到我	c=0 d=0.000102814 t=1393466
dao xia 	倒下	c=1 d=0 t=1393466
dao xian 	導線	c=1 d=7.20476e-232 t=1393466
dao xian zai 	到現在	c=8 d=9.96166e-44 t=1393466
dao xiang 	導向	c=12 d=5.11344e-22 t=1393466
dao xu 	倒序	c=9 d=1.17065e-18 t=1393466
dao yan 	導演	c=2 d=1.94351e-206 t=1393466
dao ye 	倒也	c=5 d=2.13493e-11 t=1393466
dao yi 	道義	c=1 d=9.37584e-125 t=1393466
dao yong 	盜用	c=2 d=0 t=1393466
dao you 	到右	c=4 d=1.32169e-46 t=1393466
dao yu 	導語	c=2 d=1.60458e-63 t=1393466
dao yu ma 	盜御馬	c=1 d=3.81583e-137 t=1393466
dao zai 	倒在	c=1 d=7.19128e-210 t=1393466
dao zhang 	到帳	c=12 d=8.76574e-10 t=1393466
dao zhe 	倒着	c=2 d=4.10422e-41 t=1393466
dao zhi 	倒置	c=1 d=0 t=1393466
dao zhi 	導致	c=794 d=0.34998 t=1393466
dao zhi bu fen 	導致部分	c=1 d=3.37642e-227 t=1393466
dao zhi yong hu 	導致用戶	c=1 d=1.14136e-173 t=1393466
dao zi 	道子	c=1 d=0 t=1393466
dao zui xin ban 	到最新版	c=1 d=5.95311e-46 t=1393466
de 	得	c=841 d=1.02328 t=1393466
de 	德	c=8 d=2.81693e-38 t=1393466
de 	的	c=96226 d=20.8988 t=1393466
de an zhuang 	的安裝	c=1 d=1 t=1372617
de ba 	的吧	c=176 d=0.0104099 t=1393466
de bang 	德邦	c=29 d=5.3204e-67 t=1393466
de bei ju 	的被拒	c=1 d=0 t=1393466
de ben jin 	的本金	c=1 d=0 t=1393466
de bi 	德比	c=0 d=5.34828e-110 t=1393466
de bing 	得病	c=2 d=2.98746e-52 t=1393466
de bu chang shi 	得不償失	c=3 d=0 t=1393466
de bu dao 	得不到	c=29 d=0.0284388 t=1393466
de bu guo 	的不過	c=1 d=3.10833e-48 t=1393466
de bu shi 	的不是	c=1 d=0 t=1393466
de bu shu 	的部署	c=1 d=0 t=1393466
de bu zhou 	的步驟	c=1 d=1 t=1360630
de can shu 	的參數	c=1 d=0 t=1393466
de cao zuo 	的操作	c=1 d=3.1037e-148 t=1393466
de ce shi 	的測試	c=1 d=2.74583e-236 t=1393466
de cha bie 	的差別	c=1 d=0 t=1393466
de cha jian 	的插件	c=1 d=1.04079e-176 t=1393466
de cha xun 	的查詢	c=1 d=1.09332e-79 t=1393466
de cha yi 	的差異	c=1 d=1 t=1359463
de chan pin 	的產品	c=1 d=1.31743e-08 t=1393466
de chang jing 	的場景	c=2 d=0 t=1393466
de chang shi 	的嘗試	c=1 d=0 t=1393466
de cheng xu 	的程序	c=1 d=7.15078e-173 t=1393466
de chong gou 	的重構	c=1 d=0 t=1393466
de chu 	得出	c=21 d=3.1142e-52 t=1393466
de chu fa dian 	的出發點	c=1 d=0 t=1393466
de ci 	的詞	c=2 d=2.46012e-120 t=1393466
de ci shu 	的次數	c=1 d=0.357007 t=1393466
de cun jin chi 	得寸進尺	c=1 d=1.20975e-93 t=1393466
de cuo 	的錯	c=1 d=1.20839e-21 t=1393466
de cuo wu 	的錯誤	c=2 d=2.15552e-65 t=1393466
de da 	的大	c=1 d=3.72883e-101 t=1393466
de dai ma 	的代碼	c=5 d=4.95729e-157 t=1393466
de dao 	得到	c=248 d=0.511583 t=1393466
de dao le 	得到了	c=3 d=4.89379e-123 t=1393466
de deng 	得等	c=1 d=1.14401e-259 t=1393466
de di fang 	的地方	c=3 d=2.75566e-278 t=1393466
de di zhi 	的地址	c=1 d=0.044601 t=1393466
de dian 	得點	c=1 d=0 t=1393466
de dian ying 	的電影	c=1 d=1.958e-287 t=1393466
de diao ding 	的吊頂	c=1 d=1 t=1349766
de diao yong 	的調用	c=1 d=0 t=1393466
de ding ding ding ding ding ding ding ding 	的頂頂頂頂頂頂頂頂	c=1 d=0 t=1393466
de dong xi 	的東西	c=1 d=0 t=1393466
de dou 	德都	c=1 d=1.61405e-44 t=1393466
de duan xin 	的短信	c=1 d=1 t=1373673
de dui hua 	的對話	c=1 d=0 t=1393466
de duo 	得多	c=5 d=3.48229e-61 t=1393466
de eng 	的嗯	c=1 d=1.40015e-283 t=1393466
de fa hua 	的發話	c=1 d=1.05511e-131 t=1393466
de fan xing 	的泛型	c=1 d=1 t=1313408
de fang shi 	的方式	c=2 d=7.97734e-107 t=1393466
de fang xiang 	的方向	c=1 d=3.63936e-80 t=1393466
de fang zi 	的房子	c=2 d=2.74385e-110 t=1393466
de fei ji 	的飛機	c=1 d=1 t=1348565
de fei yong 	的費用	c=1 d=0 t=1393466
de fen 	得分	c=2 d=6.75287e-29 t=1393466
de fen zu 	的分組	c=1 d=0 t=1393466
de fu fei 	的付費	c=1 d=0 t=1393466
de fu li 	的福利	c=1 d=4.18599e-138 t=1393466
de fu wu 	的服務	c=3 d=6.00905e-09 t=1393466
de fu za 	的複雜	c=1 d=0 t=1393466
de fu zai 	的負載	c=1 d=0 t=1393466
de gai dong 	的改動	c=1 d=0 t=1393466
de gai nian 	的概念	c=1 d=0 t=1393466
de gan qing 	的感情	c=1 d=0 t=1393466
de gao tie 	的高鐵	c=1 d=1.77375e-07 t=1393466
de ge shui 	的個稅	c=1 d=1 t=1348025
de gong cheng shi 	的工程師	c=1 d=0 t=1393466
de gong dan 	的工單	c=1 d=6.45756e-238 t=1393466
de gong ju 	的工具	c=1 d=0 t=1393466
de gong neng 	的功能	c=1 d=1.00717e-84 t=1393466
de gong neng guan 	的功能關	c=1 d=0 t=1393466
de gong zhong hao 	的公衆號	c=1 d=1.34924e-259 t=1393466
de gong zuo 	的工作	c=2 d=5.08777e-51 t=1393466
de gou jian 	的構建	c=1 d=1.99509e-155 t=1393466
de gu zhang 	的故障	c=2 d=4.90625e-06 t=1393466
de guan jian 	的關鍵	c=1 d=1.79018e-86 t=1393466
de guan xi 	的關係	c=2 d=3.92239e-20 t=1393466
de gui ze 	的規則	c=1 d=3.99755e-08 t=1393466
de guo 	德國	c=4 d=0 t=1393466
de guo cheng 	的過程	c=1 d=7.45202e-276 t=1393466
de guo cheng zhong 	的過程中	c=1 d=2.15435e-88 t=1393466
de guo pin pai 	德國品牌	c=1 d=0 t=1393466
de ha 	的哈	c=5 d=1.10619e-99 t=1393466
de hai shi 	的還是	c=1 d=2.35309e-273 t=1393466
de hao 	得好	c=1 d=6.05235e-64 t=1393466
de hao 	的好	c=1 d=0 t=1393466
de hen 	得很	c=1 d=6.24456e-167 t=1393466
de hu 	的壺	c=1 d=1.66049e-113 t=1393466
de hu 	的胡	c=25 d=2.55816e-21 t=1393466
de hua 	的話	c=4206 d=1.2309 t=1393466
de hua ke yi 	的話可以	c=1 d=0 t=1393466
de hua shi 	的話是	c=1 d=2.02434e-91 t=1393466
de hua shuo 	的話說	c=1 d=2.72088e-70 t=1393466
de hua ti 	的話題	c=5 d=4.82237e-09 t=1393466
de hua wen 	的花紋	c=2 d=0 t=1393466
de hua ying gai 	的話應該	c=2 d=1.04404e-07 t=1393466
de huang 	得慌	c=0 d=0 t=1393466
de huo dong 	的活動	c=1 d=0 t=1393466
de ji 	地級	c=1 d=1 t=1312541
de ji hua 	的計劃	c=5 d=2.71054e-84 t=1393466
de ji qi ren 	的機器人	c=1 d=5.65705e-181 t=1393466
de ji yu 	的基於	c=1 d=5.45128e-10 t=1393466
de jia 	的家	c=6 d=3.51441e-22 t=1393466
de jia ge 	的價格	c=1 d=6.89448e-126 t=1393466
de jia zhi 	的價值	c=1 d=0 t=1393466
de jiang 	得獎	c=1 d=0 t=1393466
de jiao yi 	的交易	c=2 d=1.51779e-144 t=1393466
de jie gou hua 	的結構化	c=1 d=0 t=1393466
de jie guo 	的結果	c=1 d=5.53143e-64 t=1393466
de jing li 	的經歷	c=1 d=2.70293e-286 t=1393466
de jing xiang 	的鏡像	c=1 d=0 t=1393466
de jiu shi 	的就是	c=1 d=0 t=1393466
de jue se 	的角色	c=1 d=2.98441e-40 t=1393466
de ka 	的卡	c=2 d=5.78275e-263 t=1393466
de kao lv 	的考慮	c=1 d=3.30404e-178 t=1393466
de ke hu duan 	的客戶端	c=1 d=0 t=1393466
de ke yi 	的可以	c=1 d=0 t=1393466
de keng 	的坑	c=4 d=1.1398e-10 t=1393466
de lai 	得來	c=1 d=3.91947e-70 t=1393466
de lai ni 	德萊尼	c=1 d=0 t=1393466
de le 	得了	c=71 d=2.71634e-21 t=1393466
de le 	的了	c=1 d=4.69261e-41 t=1393466
de le er 	的樂兒	c=1 d=0 t=1393466
de li 	得力	c=2 d=5.25902e-205 t=1393466
de liang zhong 	的兩種	c=1 d=0 t=1393466
de liu 	的流	c=1 d=0 t=1393466
de liu liang 	的流量	c=1 d=1.25212e-145 t=1393466
de long 	德隆	c=1 d=9.91986e-259 t=1393466
de long 	德龍	c=17 d=1.15581e-27 t=1393466
de lu 	的路	c=0 d=0 t=1393466
de luo ji 	的邏輯	c=1 d=4.54636e-139 t=1393466
de ma 	的嘛	c=37 d=0.045502 t=1393466
de me 	的麼	c=11 d=5.50502e-120 t=1393466
de mei gui 	的玫瑰	c=1 d=0 t=1393466
de mi ma 	的密碼	c=1 d=2.90303e-97 t=1393466
de ming zi 	的名字	c=2 d=0 t=1393466
de mu biao 	的目標	c=1 d=9.72675e-263 t=1393466
de na ge 	的那個	c=1 d=0 t=1393466
de na shi 	的那是	c=1 d=0 t=1393466
de na xie 	的那些	c=1 d=1 t=1349788
de na ye 	的那也	c=1 d=6.28762e-189 t=1393466
de na yi 	的那一	c=1 d=1 t=1327874
de ne 	的呢	c=3 d=4.11859e-06 t=1393466
de peng you 	的朋友	c=1 d=0 t=1393466
de piao 	得票	c=2 d=1.91151e-34 t=1393466
de qi 	得起	c=0 d=0 t=1393466
de qi dai 	的期待	c=1 d=6.19817e-50 t=1393466
de qi dong 	的啓動	c=2 d=3.38135e-156 t=1393466
de qian 	的錢	c=3 d=0 t=1393466
de qian duan 	的前端	c=1 d=0 t=1393466
de qian tao 	的嵌套	c=1 d=7.71552e-38 t=1393466
de qing kuang 	的情況	c=7 d=2.75394e-65 t=1393466
de qing kuang xia 	的情況下	c=6 d=5.76146e-14 t=1393466
de qu fen 	的區分	c=1 d=0 t=1393466
de quan bu 	的全部	c=1 d=0 t=1393466
de qun li 	的羣裏	c=1 d=5.65338e-144 t=1393466
de ren 	的人	c=4 d=3.03406e-87 t=1393466
de ren wu 	的任務	c=1 d=0 t=1393466
de ri zhi 	的日誌	c=1 d=1 t=1379467
de shao 	的少	c=1 d=0 t=1393466
de she ji 	的設計	c=3 d=1.23961e-27 t=1393466
de shen he 	的審覈	c=1 d=3.05249e-70 t=1393466
de sheng cun 	的生存	c=1 d=0 t=1393466
de sheng huo 	的生活	c=1 d=0 t=1393466
de shi 	得失	c=1 d=1.86262e-229 t=1393466
de shi 	的事	c=4 d=4.62289e-12 t=1393466
de shi hou 	的時候	c=16 d=5.45685e-22 t=1393466
de shi ji 	的實際	c=1 d=1.18482e-54 t=1393466
de shi jian 	的時間	c=1 d=0 t=1393466
de shi li 	的實例	c=1 d=1.08331e-294 t=1393466
de shi wu 	的事務	c=1 d=0 t=1393466
de shu 	的書	c=1 d=7.85131e-08 t=1393466
de shu chu 	的輸出	c=1 d=0 t=1393466
de shu ju 	的數據	c=1 d=2.21521e-151 t=1393466
de shu liang 	的數量	c=1 d=1.36924e-50 t=1393466
de shu xing 	的屬性	c=1 d=2.99828e-212 t=1393466
de shui 	得水	c=1 d=0 t=1393466
de shun xu 	的順序	c=1 d=0 t=1393466
de si an mo 	的撕按摩	c=1 d=0 t=1393466
de suan fa 	的算法	c=1 d=0 t=1393466
de tao bao 	的淘寶	c=1 d=0 t=1393466
de tao lun 	的討論	c=1 d=0 t=1393466
de tiao jian 	的條件	c=1 d=1 t=1338286
de tou 	的頭	c=1 d=1.02846e-36 t=1393466
de tu 	的圖	c=2 d=1.08584e-57 t=1393466
de tuo xie 	的拖鞋	c=1 d=1.37799e-213 t=1393466
de wang hong 	的網紅	c=1 d=0 t=1393466
de wang zhan 	的網站	c=1 d=1 t=1360438
de wen an 	的文案	c=1 d=0 t=1393466
de wen dang 	的文檔	c=3 d=1.27504e-270 t=1393466
de wen ti 	的問題	c=10 d=3.56718e-109 t=1393466
de wen zhang 	的文章	c=2 d=0 t=1393466
de wo 	的我	c=4 d=7.33281e-204 t=1393466
de xi tong 	的系統	c=1 d=0.00786762 t=1393466
de xian 	得閒	c=1 d=0 t=1393466
de xian zhi 	的限制	c=1 d=0 t=1393466
de xiang fa 	的想法	c=1 d=3.59629e-87 t=1393466
de xiang mu 	的項目	c=1 d=0 t=1393466
de xiang ying 	的響應	c=1 d=0 t=1393466
de xiao guo 	的效果	c=2 d=5.28426e-85 t=1393466
de xie fa 	的寫法	c=1 d=0 t=1393466
de xin xi 	的信息	c=1 d=2.55671e-220 t=1393466
de xing wei 	的行爲	c=1 d=5.88491e-175 t=1393466
de xu qiu 	的需求	c=1 d=6.4983e-165 t=1393466
de xue xi 	的學習	c=1 d=1.96357e-56 t=1393466
de ya 	的呀	c=495 d=0.0160834 t=1393466
de yang zi 	的樣子	c=1 d=5.53224e-242 t=1393466
de ye mian 	的頁面	c=1 d=0 t=1393466
de yi 	得以	c=2 d=0.000265207 t=1393466
de yi bu 	的異步	c=1 d=3.22171e-234 t=1393466
de yi xie 	的一些	c=2 d=0 t=1393466
de yi yu 	得益於	c=6 d=0 t=1393466
de yong hu 	的用戶	c=1 d=3.5668e-49 t=1393466
de yu ming 	的域名	c=2 d=4.48307e-33 t=1393466
de yu wang 	的慾望	c=1 d=0 t=1393466
de yu yan 	的語言	c=1 d=0 t=1393466
de yun han shu 	的雲函數	c=1 d=1.41864e-114 t=1393466
de yun wei 	的運維	c=1 d=0 t=1393466
de zhe ge 	的這個	c=1 d=0 t=1393466
de zhe kuai 	的這塊	c=1 d=2.98959e-31 t=1393466
de zhe zhong 	的這種	c=1 d=0 t=1393466
de zhi 	得知	c=5 d=1.15116e-12 t=1393466
de zhi chi 	的支持	c=4 d=3.67394e-103 t=1393466
de zhi gan 	的質感	c=1 d=0 t=1393466
de zhou 	德州	c=2 d=1.31726e-125 t=1393466
de zhou pu ke 	德州撲克	c=1 d=1.32386e-124 t=1393466
de zhu ti 	的主題	c=1 d=0 t=1393466
de zhu yao 	的主要	c=1 d=1 t=1354864
de zhuang tai 	的狀態	c=1 d=0 t=1393466
de zi chan 	的資產	c=2 d=2.77828e-159 t=1393466
de zi dong 	的自動	c=1 d=3.51609e-57 t=1393466
